ano;cod_ies;nome_ies;sigla_ies;categoria_adm;organizacao_acad;uf;igc_continuo;igc_faixa;nome_google_place;latitude;longitude;endereco;endereco_detalhe
2018;2579;CENTRO UNIVERSITÁRIO ATENAS;UniAtenas;Privada com fins lucrativos;Centro Universitário;MG;3,50322;4;Centro Universitário Atenas;-17.2301859;-46.89468489999999;Rua Euridamas Avelino de Barros, R. Romualda Lemos do Prado, 60 - Lavrado, Paracatu - MG, 38602-018, Brasil;Q494+W4 Paracatu, MG
2018;2581;FACULDADE SÃO SALVADOR;FSS;Privada com fins lucrativos;Faculdade;BA;2,47348;3;Faculdade São Salvador;-12.9869408;-38.4697163;R. Profa. Guiomar Florence, 191/192 - Brotas, Salvador - BA, 40279-750, Brasil;2G7J+64 Brotas, Salvador - BA
2018;2582;FACULDADE DE ENSINO SUPERIOR DO CENTRO DO PARANÁ;UCP;Privada sem fins lucrativos;Faculdade;PR;3,13086;4;UCP - Faculdades do Centro do Paraná;-24.7616455;-51.7837464;Av. Universitária, S/N - Campus Julio Podolan, Pitanga - PR, 85200-000, Brasil;66Q8+8G Pitanga, PR
2018;2591;ESCOLA BRASILEIRA DE ECONOMIA E FINANÇAS;EBEF;Privada sem fins lucrativos;Faculdade;RJ;4,86829;5;FGV EPGE  Escola Brasileira de Economia e Finanças;-22.9413435;-43.1802311;Edifício Luiz Simões Lopes (Sede - Praia de Botafogo, 190 - 11º Andar - Botafogo, Rio de Janeiro - RJ, 22250-900, Brasil;3R59+FW Botafogo, Rio de Janeiro - RJ
2018;2593;FACULDADE DE JUAZEIRO DO NORTE;FJN;Privada com fins lucrativos;Faculdade;CE;2,51478;3;Faculdade de Juazeiro do Norte - FJN;-7.2053646;-39.3091651;R. São Francisco, 1224 - São Miguel, Juazeiro do Norte - CE, 63010-475, Brasil;QMVR+V8 São Miguel, Juazeiro do Norte - CE
2018;2613;Faculdade Meta;FAMETA;Privada com fins lucrativos;Centro Universitário;AC;3,1599;4;Faculdade META;0.001281;-51.07661599999999;R. Pedro Siqueira, 333 - Jardim Marco Zero, Macapá - AP, 68903-150, Brasil;2W2F+G9 Jardim Marco Zero, Macapá - AP
2018;2616;FACULDADE SANTO ANTÔNIO DE PÁDUA;FASAP;Privada com fins lucrativos;Faculdade;RJ;2,58396;3;Fasap (Faculdade Santo Antônio de Pádua).;-21.5483981;-42.17248499999999;R. Deomar Jaeger, 2 - Bairro Alequicis, Santo Antônio de Pádua - RJ, 28470-000, Brasil;FR2H+J2 Arraialzinho, Santo Antônio de Pádua - RJ
2018;2617;FACULDADE SÃO BENTO DO RIO DE JANEIRO;FSB/RJ;Privada sem fins lucrativos;Faculdade;RJ;3,05133;4;Faculdade de São Bento do Rio de Janeiro;-22.8978374;-43.1795165;R. Dom Gerardo, 68 - Centro, Rio de Janeiro - RJ, 20090-030, Brasil;4R2C+V5 Centro, Rio de Janeiro - RJ
2018;2620;FACULDADE DE AMPÉRE;FAMPER;Privada com fins lucrativos;Faculdade;PR;1,81992;2;Faculdade de Ampere - FAMPER;-25.9120215;-53.4609616;Av. Zilda Arns, 183 - Floresta, Ampére - PR, 85640-000, Brasil;3GQQ+5J Floresta, Ampére - PR
2018;2623;FACULDADE DO TAPAJÓS;FAT;Privada sem fins lucrativos;Faculdade;PA;2,00292;3;Faculdade do Tapajós;-4.2653574;-55.9854333;R. Homero Gomes de Castro, 597 - Bela Vista, Itaituba - PA, 68180-250, Brasil;P2M7+VR Bela Vista, Itaituba - PA
