Name;State;Region;Ano;IDHM;"IDHM Educacao";"IDHM Longividade";"IDHM Renda"
Ipixuna;Amazonas;Norte;2010;0.481;0.302;0.772;0.476
Iranduba;Amazonas;Norte;1991;0.323;0.101;0.640;0.521
Iranduba;Amazonas;Norte;2000;0.437;0.206;0.754;0.537
Iranduba;Amazonas;Norte;2010;0.613;0.476;0.799;0.607
Itacoatiara;Amazonas;Norte;1991;0.408;0.192;0.667;0.532
Itacoatiara;Amazonas;Norte;2000;0.491;0.293;0.741;0.544
Itacoatiara;Amazonas;Norte;2010;0.644;0.534;0.811;0.618
Itamarati;Amazonas;Norte;1991;0.210;0.031;0.611;0.487
Itamarati;Amazonas;Norte;2000;0.331;0.108;0.661;0.507
Itamarati;Amazonas;Norte;2010;0.477;0.266;0.772;0.529
Itapiranga;Amazonas;Norte;1991;0.409;0.214;0.646;0.495
Itapiranga;Amazonas;Norte;2000;0.478;0.329;0.714;0.465
Itapiranga;Amazonas;Norte;2010;0.654;0.594;0.792;0.594
Japurá;Amazonas;Norte;1991;0.208;0.029;0.640;0.482
Japurá;Amazonas;Norte;2000;0.304;0.080;0.679;0.515
Japurá;Amazonas;Norte;2010;0.522;0.345;0.748;0.552
Juruá;Amazonas;Norte;1991;0.291;0.108;0.539;0.422
Juruá;Amazonas;Norte;2000;0.362;0.164;0.604;0.480
Juruá;Amazonas;Norte;2010;0.522;0.376;0.704;0.538
Jutaí;Amazonas;Norte;1991;0.187;0.026;0.576;0.438
Jutaí;Amazonas;Norte;2000;0.304;0.099;0.654;0.434
Jutaí;Amazonas;Norte;2010;0.516;0.340;0.766;0.528
Lábrea;Amazonas;Norte;1991;0.254;0.058;0.599;0.473
Lábrea;Amazonas;Norte;2000;0.386;0.183;0.688;0.456
Lábrea;Amazonas;Norte;2010;0.531;0.374;0.744;0.538
Manacapuru;Amazonas;Norte;1991;0.339;0.126;0.612;0.507
Manacapuru;Amazonas;Norte;2000;0.437;0.232;0.694;0.517
Manacapuru;Amazonas;Norte;2010;0.614;0.481;0.795;0.604
Manaquiri;Amazonas;Norte;1991;0.244;0.046;0.620;0.510
Manaquiri;Amazonas;Norte;2000;0.429;0.217;0.670;0.543
Manaquiri;Amazonas;Norte;2010;0.596;0.510;0.748;0.556
Manaus;Amazonas;Norte;1991;0.521;0.307;0.681;0.676
Manaus;Amazonas;Norte;2000;0.601;0.443;0.727;0.674
Manaus;Amazonas;Norte;2010;0.737;0.658;0.826;0.738
Manicoré;Amazonas;Norte;1991;0.287;0.078;0.622;0.489
Manicoré;Amazonas;Norte;2000;0.398;0.198;0.693;0.460
Manicoré;Amazonas;Norte;2010;0.582;0.456;0.747;0.580
Maraã;Amazonas;Norte;1991;0.265;0.070;0.599;0.444
Maraã;Amazonas;Norte;2000;0.291;0.091;0.648;0.419
Maraã;Amazonas;Norte;2010;0.498;0.348;0.763;0.466
Maués;Amazonas;Norte;1991;0.333;0.118;0.660;0.475
Maués;Amazonas;Norte;2000;0.454;0.257;0.714;0.510
Maués;Amazonas;Norte;2010;0.588;0.464;0.800;0.549
Nhamundá;Amazonas;Norte;1991;0.356;0.165;0.599;0.456
Nhamundá;Amazonas;Norte;2000;0.441;0.277;0.681;0.456
Nhamundá;Amazonas;Norte;2010;0.586;0.503;0.779;0.513
"Nova Olinda do Norte";Amazonas;Norte;1991;0.321;0.110;0.599;0.501
"Nova Olinda do Norte";Amazonas;Norte;2000;0.373;0.147;0.681;0.520
"Nova Olinda do Norte";Amazonas;Norte;2010;0.558;0.412;0.780;0.541
"Novo Airão";Amazonas;Norte;1991;0.264;0.064;0.615;0.467
"Novo Airão";Amazonas;Norte;2000;0.428;0.231;0.666;0.509
"Novo Airão";Amazonas;Norte;2010;0.570;0.434;0.776;0.551
"Novo Aripuanã";Amazonas;Norte;1991;0.293;0.079;0.622;0.513
"Novo Aripuanã";Amazonas;Norte;2000;0.387;0.161;0.688;0.522
"Novo Aripuanã";Amazonas;Norte;2010;0.554;0.421;0.759;0.532
Parintins;Amazonas;Norte;1991;0.414;0.214;0.637;0.520
Parintins;Amazonas;Norte;2000;0.488;0.327;0.705;0.504
Parintins;Amazonas;Norte;2010;0.658;0.605;0.800;0.589
Pauini;Amazonas;Norte;1991;0.177;0.019;0.576;0.503
Pauini;Amazonas;Norte;2000;0.287;0.074;0.618;0.516
Pauini;Amazonas;Norte;2010;0.496;0.317;0.724;0.531
"Presidente Figueiredo";Amazonas;Norte;1991;0.461;0.245;0.646;0.620
"Presidente Figueiredo";Amazonas;Norte;2000;0.537;0.344;0.721;0.624
"Presidente Figueiredo";Amazonas;Norte;2010;0.647;0.538;0.802;0.627
"Rio Preto da Eva";Amazonas;Norte;1991;0.353;0.127;0.646;0.536
"Rio Preto da Eva";Amazonas;Norte;2000;0.434;0.220;0.705;0.528
"Rio Preto da Eva";Amazonas;Norte;2010;0.611;0.493;0.785;0.590
"Santa Isabel do Rio Negro";Amazonas;Norte;1991;0.236;0.060;0.539;0.404
