Ano;State;Region;PIB;"PIB Y-1";"Growing Tax"
2014;Goiás;Centro-oeste;165015307.00;151300180.00;0.090648
2014;Maranhão;Nordeste;76842026.00;67694839.00;0.135124
2014;"Mato Grosso";Centro-oeste;101234522.00;89212915.00;0.134752
2014;"Mato Grosso do Sul";Centro-oeste;78950135.00;69203202.00;0.140845
2014;"Minas Gerais";Sudeste;516633991.00;488004902.00;0.058666
2014;Pará;Norte;124584945.00;121224851.00;0.027718
2014;Paraíba;Nordeste;52936479.00;46377285.00;0.141431
2014;Paraná;Sul;348084197.00;333481153.00;0.043790
2014;Pernambuco;Nordeste;155142644.00;141150250.00;0.099131
2014;Piauí;Nordeste;37723502.00;31283598.00;0.205856
2014;"Rio de Janeiro";Sudeste;671076847.00;628226073.00;0.068209
2014;"Rio Grande do Norte";Nordeste;54022583.00;51518454.00;0.048606
2014;"Rio Grande do Sul";Sul;357816431.00;332292721.00;0.076811
2014;Rondônia;Norte;34030982.00;31121412.00;0.093491
2014;Roraima;Norte;9744122.00;9010725.00;0.081392
2014;"Santa Catarina";Sul;242553374.00;214512250.00;0.130720
2014;"São Paulo";Sudeste;1858196059.00;1715238415.00;0.083346
2014;Sergipe;Nordeste;37472428.00;35335989.00;0.060461
2014;Tocantins;Norte;26189323.00;23796659.00;0.100546
2015;Acre;Norte;13622803.00;13458696.00;0.012193
2015;Alagoas;Nordeste;46367211.00;40974993.00;0.131598
2015;Amapá;Norte;13861293.00;13400286.00;0.034403
2015;Amazonas;Norte;86568185.00;86668642.00;-0.001159
2015;Bahia;Nordeste;245043688.00;223929965.00;0.094287
2015;Ceará;Nordeste;130629849.00;126054461.00;0.036297
2015;"Distrito Federal";Centro-oeste;215612863.00;197432059.00;0.092086
2015;"Espírito Santo";Sudeste;120365980.00;128783779.00;-0.065364
2015;Goiás;Centro-oeste;173632448.00;165015307.00;0.052220
2015;Maranhão;Nordeste;78475993.00;76842026.00;0.021264
2015;"Mato Grosso";Centro-oeste;107418326.00;101234522.00;0.061084
2015;"Mato Grosso do Sul";Centro-oeste;83082560.00;78950135.00;0.052342
2015;"Minas Gerais";Sudeste;519331213.00;516633991.00;0.005221
2015;Pará;Norte;130899505.00;124584945.00;0.050685
2015;Paraíba;Nordeste;56141893.00;52936479.00;0.060552
2015;Paraná;Sul;376962826.00;348084197.00;0.082964
2015;Pernambuco;Nordeste;156963672.00;155142644.00;0.011738
2015;Piauí;Nordeste;39149681.00;37723502.00;0.037806
2015;"Rio de Janeiro";Sudeste;659138952.00;671076847.00;-0.017789
2015;"Rio Grande do Norte";Nordeste;57250865.00;54022583.00;0.059758
2015;"Rio Grande do Sul";Sul;381992590.00;357816431.00;0.067566
2015;Rondônia;Norte;36563334.00;34030982.00;0.074413
2015;Roraima;Norte;10242903.00;9744122.00;0.051188
2015;"Santa Catarina";Sul;249079644.00;242553374.00;0.026907
2015;"São Paulo";Sudeste;1939901904.00;1858196059.00;0.043971
2015;Sergipe;Nordeste;38556529.00;37472428.00;0.028931
2015;Tocantins;Norte;28930288.00;26189323.00;0.104660
2016;Acre;Norte;13754242.00;13622803.00;0.009648
2016;Alagoas;Nordeste;49468745.00;46367211.00;0.066891
2016;Amapá;Norte;14342136.00;13861293.00;0.034690
2016;Amazonas;Norte;89039782.00;86568185.00;0.028551
2016;Bahia;Nordeste;258738968.00;245043688.00;0.055889
2016;Ceará;Nordeste;138422523.00;130629849.00;0.059655
2016;"Distrito Federal";Centro-oeste;235540045.00;215612863.00;0.092421
2016;"Espírito Santo";Sudeste;109264420.00;120365980.00;-0.092232
2016;Goiás;Centro-oeste;181759608.00;173632448.00;0.046807
2016;Maranhão;Nordeste;85310044.00;78475993.00;0.087085
2016;"Mato Grosso";Centro-oeste;123880298.00;107418326.00;0.153251
2016;"Mato Grosso do Sul";Centro-oeste;91892284.00;83082560.00;0.106036
2016;"Minas Gerais";Sudeste;544810475.00;519331213.00;0.049062
2016;Pará;Norte;138107518.00;130899505.00;0.055065
2016;Paraíba;Nordeste;59104784.00;56141893.00;0.052775
2016;Paraná;Sul;401814167.00;376962826.00;0.065925
2016;Pernambuco;Nordeste;167345029.00;156963672.00;0.066139
2016;Piauí;Nordeste;41416948.00;39149681.00;0.057913
2016;"Rio de Janeiro";Sudeste;640401206.00;659138952.00;-0.028428
2016;"Rio Grande do Norte";Nordeste;59677383.00;57250865.00;0.042384
2016;"Rio Grande do Sul";Sul;408789531.00;381992590.00;0.070150
2016;Rondônia;Norte;39460358.00;36563334.00;0.079233
